,Open,High,Low,Close,Adj Close,Volume,Openrolling_mean_3,Openrolling_mean_5,Highrolling_mean_3,Highrolling_mean_5,Lowrolling_mean_3,Lowrolling_mean_5,Openrolling_stnd_3,Openrolling_stnd_5,Highrolling_stnd_3,Highrolling_stnd_5,Lowrolling_stnd_3,Lowrolling_stnd_5,compound,negative,positive,neutral
2007-12-20,5751.75,5799.5,5742.75,5766.5,5766.5,0.0,5753.200032666667,5870.750097599999,5838.299967666666,5926.6799806,5710.016764333333,5777.1400392,23.70832957418433,161.961287254187,37.61240579806691,124.65657948101558,33.0287661556057,135.67850312403974,-0.9979,0.13,0.076,0.793
2007-12-24,5771.299805,6001.049805,5771.299805,5985.100098,5985.100098,0.0,5751.099935000001,5813.7700196000005,5880.4498699999995,5911.1799806,5730.25,5728.3900392000005,20.532621873681805,126.67952666498515,106.46443873312143,104.1900048584636,48.52276839835447,36.002999918134066,-0.9964,0.13,0.089,0.781
2007-12-26,5988.450195,6085.25,5988.450195,6070.75,6070.75,0.0,5837.166666666667,5803.8700196,5961.933268333334,5920.2399416,5834.166666666667,5777.9600586,131.37951962774395,104.8298294137439,146.83611001927085,119.09074011054936,134.37383740008545,122.86285951688113,-0.9693,0.12,0.104,0.776
2007-12-27,6069.0,6110.850098,6060.200195,6081.5,6081.5,0.0,5942.916666666667,5862.15,6065.716634333334,5967.489941599999,5939.983398333334,5847.880078,153.98483099843693,155.38515830716506,57.44728336846793,141.25937262648708,150.4248371110572,166.62773908718958,-0.9971,0.135,0.093,0.772
2007-12-28,6079.549805,6098.600098,6021.899902,6079.700195,6079.700195,0.0,6045.666666666667,5932.009961000001,6098.233398666666,6019.0500002,6023.516764,5916.9200194,49.830894722727464,159.71942911555985,12.80398788259996,130.0616446196234,35.9023161794588,148.49831058950943,0.9995,0.092,0.168,0.74
2007-12-31,6095.0,6167.75,6095.0,6138.600098,6138.600098,0.0,6081.183268333333,6000.659961,6125.733398666666,6092.7000002,6059.033365666667,5987.3700194,13.076740872342576,134.67476649460136,36.89934573535922,60.10823665968535,36.56401509581492,127.24804941967949,-0.9871,0.121,0.105,0.774
2008-01-01,6136.75,6165.350098,6109.850098,6144.350098,6144.350098,0.0,6103.766601666666,6073.75,6143.900065333334,6125.5600588,6075.583333333333,6055.080078,29.59063290287149,54.20521070679349,39.249269581706315,38.50766687142393,47.0804041236663,50.39850258037115,-0.9947,0.127,0.096,0.777
2008-01-02,6144.700195,6197.0,6060.850098,6179.399902,6179.399902,0.0,6125.483398333334,6105.0,6176.700032666667,6147.9100588,6088.566731999999,6069.5600586,26.696995722226543,34.01426321623,17.621191438074245,41.57076343333998,25.125489107174058,34.298100824605946,-0.9993,0.169,0.102,0.73
2008-01-03,6184.25,6230.149902,6126.399902,6178.549805,6178.549805,0.0,6155.233398333334,6128.05,6197.5,6171.7700196000005,6099.033366,6082.8,25.441575803057233,41.70111032266433,32.40279539798297,48.62092131454017,34.087321242426725,41.7496089516053,-0.9978,0.141,0.093,0.766
2008-01-04,6179.100098,6300.049805,6179.100098,6274.299805,6274.299805,0.0,6169.350097666666,6147.9600586,6242.399902333334,6212.059961,6122.1166993333345,6114.2400392,21.50217776775788,36.15149316441352,52.6057264825154,55.770612743501225,59.241244026589236,43.57357572072653,-0.9988,0.145,0.089,0.766
2008-01-07,6271.0,6289.799805,6193.350098,6279.100098,6279.100098,0.0,6211.450032666667,6183.1600586,6273.333170666668,6236.469922,6166.283366,6133.9100588,51.63602743918406,53.307084906385846,37.747339569123824,58.1857471902654,35.26731702986303,53.73150831672041,-0.9991,0.147,0.066,0.787
2008-01-08,6282.450195,6357.100098,6221.600098,6287.850098,6287.850098,0.0,6244.183431,6212.300097599999,6315.649902666667,6274.819922,6198.016764666667,6156.2600588000005,56.653834090671324,60.88002440730064,36.26092449003593,62.614539446438826,21.63089996599573,63.56364665663619,-0.9953,0.12,0.083,0.797
